W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/snake-surrogate-data/runs/03jdvkk9
[monitor] 117,969/50,000,000 (0.2%) | FPS cur=45 roll=46 | ETA 303.8h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 119,333/50,000,000 (0.2%) | FPS cur=45 roll=46 | ETA 303.9h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 120,721/50,000,000 (0.2%) | FPS cur=46 roll=46 | ETA 303.8h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 122,060/50,000,000 (0.2%) | FPS cur=44 roll=46 | ETA 303.9h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 123,506/50,000,000 (0.2%) | FPS cur=48 roll=46 | ETA 303.7h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 124,887/50,000,000 (0.2%) | FPS cur=46 roll=46 | ETA 303.7h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 126,119/50,000,000 (0.3%) | FPS cur=41 roll=46 | ETA 304.0h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 127,302/50,000,000 (0.3%) | FPS cur=39 roll=46 | ETA 304.4h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 128,682/50,000,000 (0.3%) | FPS cur=46 roll=46 | ETA 304.4h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 129,950/50,000,000 (0.3%) | FPS cur=42 roll=45 | ETA 304.6h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 131,380/50,000,000 (0.3%) | FPS cur=48 roll=45 | ETA 304.5h | NaN=0 respawns=0 | disk 0.3GB used, 41.2GB free
[monitor] 132,815/50,000,000 (0.3%) | FPS cur=48 roll=46 | ETA 304.3h | NaN=0 respawns=0 | disk 0.3GB used, 41.2GB free
[monitor] 134,226/50,000,000 (0.3%) | FPS cur=47 roll=46 | ETA 304.3h | NaN=0 respawns=0 | disk 0.3GB used, 41.2GB free
[monitor] 135,659/50,000,000 (0.3%) | FPS cur=47 roll=46 | ETA 304.1h | NaN=0 respawns=0 | disk 0.3GB used, 41.2GB free
[monitor] 137,084/50,000,000 (0.3%) | FPS cur=47 roll=46 | ETA 304.0h | NaN=0 respawns=0 | disk 0.3GB used, 41.2GB free
[monitor] 138,323/50,000,000 (0.3%) | FPS cur=41 roll=46 | ETA 304.3h | NaN=0 respawns=0 | disk 0.3GB used, 41.2GB free
[monitor] 139,795/50,000,000 (0.3%) | FPS cur=49 roll=46 | ETA 304.1h | NaN=0 respawns=0 | disk 0.3GB used, 41.2GB free
[monitor] 141,346/50,000,000 (0.3%) | FPS cur=51 roll=46 | ETA 303.7h | NaN=0 respawns=0 | disk 0.3GB used, 41.2GB free
[monitor] 142,972/50,000,000 (0.3%) | FPS cur=54 roll=46 | ETA 303.1h | NaN=0 respawns=0 | disk 0.3GB used, 41.2GB free
[monitor] 144,601/50,000,000 (0.3%) | FPS cur=54 roll=46 | ETA 302.6h | NaN=0 respawns=0 | disk 0.3GB used, 41.2GB free
[monitor] 146,205/50,000,000 (0.3%) | FPS cur=53 roll=46 | ETA 302.1h | NaN=0 respawns=0 | disk 0.3GB used, 41.2GB free
[monitor] 147,719/50,000,000 (0.3%) | FPS cur=50 roll=46 | ETA 301.9h | NaN=0 respawns=0 | disk 0.3GB used, 41.2GB free
[monitor] 149,304/50,000,000 (0.3%) | FPS cur=52 roll=46 | ETA 301.4h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 150,912/50,000,000 (0.3%) | FPS cur=53 roll=46 | ETA 301.0h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 152,520/50,000,000 (0.3%) | FPS cur=53 roll=46 | ETA 300.6h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 154,125/50,000,000 (0.3%) | FPS cur=53 roll=46 | ETA 300.1h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 155,731/50,000,000 (0.3%) | FPS cur=53 roll=46 | ETA 299.7h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 157,388/50,000,000 (0.3%) | FPS cur=55 roll=46 | ETA 299.2h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 159,032/50,000,000 (0.3%) | FPS cur=54 roll=46 | ETA 298.7h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 160,614/50,000,000 (0.3%) | FPS cur=52 roll=46 | ETA 298.4h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 162,238/50,000,000 (0.3%) | FPS cur=54 roll=46 | ETA 298.0h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 163,851/50,000,000 (0.3%) | FPS cur=53 roll=47 | ETA 297.6h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
