W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/surrogate-data-collection/runs/i2g89uny
[monitor] 214,000/1,000,000 (21.4%) | FPS cur=17 roll=55 | ETA 4.0h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 215,500/1,000,000 (21.6%) | FPS cur=50 roll=55 | ETA 3.9h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 217,500/1,000,000 (21.8%) | FPS cur=67 roll=55 | ETA 3.9h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 219,500/1,000,000 (21.9%) | FPS cur=66 roll=55 | ETA 3.9h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 222,000/1,000,000 (22.2%) | FPS cur=83 roll=56 | ETA 3.9h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 222,500/1,000,000 (22.2%) | FPS cur=17 roll=55 | ETA 3.9h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 223,500/1,000,000 (22.4%) | FPS cur=33 roll=55 | ETA 3.9h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 226,500/1,000,000 (22.7%) | FPS cur=100 roll=55 | ETA 3.9h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 229,000/1,000,000 (22.9%) | FPS cur=83 roll=56 | ETA 3.8h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 230,000/1,000,000 (23.0%) | FPS cur=33 roll=56 | ETA 3.9h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 231,000/1,000,000 (23.1%) | FPS cur=33 roll=55 | ETA 3.9h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 233,000/1,000,000 (23.3%) | FPS cur=67 roll=55 | ETA 3.8h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
